Município;Sexo;Faixa Etária;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Tunas do Paraná;Feminino;0 a 9 anos;441;457;475;493;512;532;552;574;596;619;643;632;622;612;603;593;584;575;565;557;548;539;531
Tunas do Paraná;Feminino;10 a 19 anos;341;365;392;421;452;485;520;558;599;643;690;675;660;646;633;619;606;593;580;568;556;544;533
Tunas do Paraná;Feminino;20 a 29 anos;197;218;241;267;295;327;362;401;444;492;545;543;541;539;537;536;534;532;530;529;527;525;524
Tunas do Paraná;Feminino;30 a 39 anos;199;214;230;248;267;288;310;334;360;388;418;421;424;427;431;434;438;441;444;448;451;455;459
Tunas do Paraná;Feminino;40 a 49 anos;212;219;226;233;241;249;257;266;275;284;294;300;308;315;322;330;338;346;354;362;371;380;389
Tunas do Paraná;Feminino;50 a 59 anos;123;129;136;144;152;160;169;178;187;198;209;214;220;226;232;238;245;251;258;265;273;280;288
Tunas do Paraná;Feminino;60 a 69 anos;131;128;126;124;122;120;118;116;114;112;111;116;122;128;135;141;148;156;164;172;181;190;200
Tunas do Paraná;Feminino;70 a 79 anos;31;32;33;35;36;38;39;41;43;45;47;49;52;55;58;61;64;68;71;75;80;84;89
Tunas do Paraná;Feminino;80 anos ou mais;16;16;17;18;20;21;22;23;25;26;28;28;29;30;31;32;33;34;36;37;38;39;41
Tunas do Paraná;Masculino;0 a 9 anos;480;498;518;538;560;582;605;628;653;679;706;691;676;662;648;635;622;609;596;583;571;559;548
Tunas do Paraná;Masculino;10 a 19 anos;416;437;460;484;509;535;563;592;623;655;690;677;665;652;640;629;617;606;595;584;573;563;553
Tunas do Paraná;Masculino;20 a 29 anos;313;333;356;379;405;432;461;491;524;559;597;587;578;569;560;552;543;535;526;518;510;502;495
Tunas do Paraná;Masculino;30 a 39 anos;197;215;235;257;281;307;335;366;401;438;479;479;479;480;480;481;481;481;482;482;483;483;484
Tunas do Paraná;Masculino;40 a 49 anos;172;184;198;213;230;247;266;286;307;331;356;360;365;370;374;379;384;389;394;400;405;410;416
Tunas do Paraná;Masculino;50 a 59 anos;145;151;158;165;172;180;188;196;205;214;224;229;235;242;248;255;261;268;275;283;290;298;306
Tunas do Paraná;Masculino;60 a 69 anos;125;125;125;126;126;126;127;127;128;128;129;135;141;148;155;162;170;178;186;195;205;214;225
Tunas do Paraná;Masculino;70 a 79 anos;60;60;61;62;63;64;65;66;67;68;69;71;74;76;79;82;85;88;91;95;98;102;106
Tunas do Paraná;Masculino;80 anos ou mais;11;11;12;13;14;15;16;17;18;19;21;21;22;23;24;25;25;26;27;28;29;30;32
Doutor Ulysses;Feminino;0 a 9 anos;753;723;694;667;641;616;591;568;546;524;504;491;478;466;455;443;432;421;410;400;390;380;371
Doutor Ulysses;Feminino;10 a 19 anos;643;641;639;637;635;633;632;630;628;626;625;606;588;571;554;537;522;506;491;477;462;449;436
Doutor Ulysses;Feminino;20 a 29 anos;468;460;452;444;437;429;422;415;408;401;395;394;393;392;391;390;389;388;387;386;385;384;384
Doutor Ulysses;Feminino;30 a 39 anos;373;376;379;382;385;389;392;395;399;402;406;406;407;407;408;409;409;410;411;411;412;413;414
Doutor Ulysses;Feminino;40 a 49 anos;228;234;241;248;255;262;269;277;285;293;302;308;315;322;329;337;344;352;359;367;376;384;393
Doutor Ulysses;Feminino;50 a 59 anos;174;179;184;189;195;200;206;212;219;225;232;238;244;251;257;264;271;278;286;293;301;309;318
Doutor Ulysses;Feminino;60 a 69 anos;136;139;142;146;150;153;157;161;165;169;174;178;182;187;191;196;201;206;211;216;221;227;233
Doutor Ulysses;Feminino;70 a 79 anos;42;44;47;50;53;56;60;64;68;72;77;80;83;87;91;95;99;103;108;112;117;122;128
Doutor Ulysses;Feminino;80 anos ou mais;12;13;14;16;17;19;21;23;26;29;32;33;35;36;38;40;41;43;45;48;50;52;55
Doutor Ulysses;Masculino;0 a 9 anos;786;758;731;705;679;655;632;609;588;567;547;533;520;508;496;484;472;461;449;439;428;418;408
Doutor Ulysses;Masculino;10 a 19 anos;754;746;738;731;723;716;709;702;695;687;681;657;635;613;592;572;552;534;515;498;481;464;449
Doutor Ulysses;Masculino;20 a 29 anos;493;485;477;470;463;456;449;442;435;428;422;421;420;419;419;418;417;417;416;415;415;414;414
Doutor Ulysses;Masculino;30 a 39 anos;351;357;364;371;378;386;393;401;409;416;425;422;420;417;415;413;410;408;406;403;401;399;397
Doutor Ulysses;Masculino;40 a 49 anos;324;326;329;333;336;339;342;345;348;351;355;360;366;373;379;385;392;398;405;412;418;425;433
Doutor Ulysses;Masculino;50 a 59 anos;202;206;210;215;219;224;229;233;238;243;249;258;269;280;291;303;315;327;340;354;368;383;399
Doutor Ulysses;Masculino;60 a 69 anos;158;159;160;161;163;164;165;166;168;169;171;177;183;189;196;203;210;217;225;233;241;250;259
Doutor Ulysses;Masculino;70 a 79 anos;79;79;80;81;82;83;84;85;86;87;89;92;96;100;104;108;112;117;122;127;132;137;143
Doutor Ulysses;Masculino;80 anos ou mais;22;23;24;26;28;30;31;34;36;38;41;42;44;45;47;49;50;52;54;56;58;60;63
