mun_id;mun
4100202;Adrianópolis
4100301;Agudos do Sul
4100400;Almirante Tamandaré
4101804;Araucária
4102307;Balsa Nova
4103107;Bocaiúva do Sul
4104006;Campina Grande do Sul
4104105;Campo do Tenente
4104204;Campo Largo
4104253;Campo Magro
4105201;Cerro Azul
4105805;Colombo
4106209;Contenda
4106902;Curitiba
4107652;Fazenda Rio Grande
4111258;Itaperuçu
4113205;Lapa
4114302;Mandirituba
4119103;Piên
4119152;Pinhais
4119509;Piraquara
4120804;Quatro Barras
4121208;Quitandinha
4122206;Rio Branco do Sul
4122305;Rio Negro
4125506;São José dos Pinhais
4127601;Tijucas do Sul
4127882;Tunas do Paraná
4128633;Doutor Ulysses
